Sample_Name,Sample_Project,Amount,Microbiome,Category.,X,Sample,Highest.Dose.,Further.Dilutions.,fq1,fq2,Rep,Sample_Abbrv
BetaVia-5-K5-2,KeminCaninePartOne,5,K5,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-5-K5-2_L001_R1_001.fastq.gz,BetaVia-5-K5-2_L001_R2_001.fastq.gz,2,BetaVia
BetaVia-5-K5-3,KeminCaninePartTwo,5,K5,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-5-K5-3_L001_R1_001.fastq.gz,BetaVia-5-K5-3_L001_R2_001.fastq.gz,3,BetaVia
BetaVia-5-K7-1,KeminCaninePartThree,5,K7,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-5-K7-1_L001_R1_001.fastq.gz,BetaVia-5-K7-1_L001_R2_001.fastq.gz,1,BetaVia
BetaVia-5-K7-2,KeminCaninePartTwo,5,K7,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-5-K7-2_L001_R1_001.fastq.gz,BetaVia-5-K7-2_L001_R2_001.fastq.gz,2,BetaVia
BetaVia-5-K7-3,KeminCaninePartOne,5,K7,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-5-K7-3_L001_R1_001.fastq.gz,BetaVia-5-K7-3_L001_R2_001.fastq.gz,3,BetaVia
Carrot-1-K10-1,KeminCaninePartTwo,1,K10,Botanicals,12,carrot powder,20mg,"10,5,1mg",Carrot-1-K10-1_L001_R1_001.fastq.gz,Carrot-1-K10-1_L001_R2_001.fastq.gz,1,Carrot
Carrot-1-K10-2,KeminCaninePartOne,1,K10,Botanicals,12,carrot powder,20mg,"10,5,1mg",Carrot-1-K10-2_L001_R1_001.fastq.gz,Carrot-1-K10-2_L001_R2_001.fastq.gz,2,Carrot
Carrot-1-K10-3,KeminCaninePartThree,1,K10,Botanicals,12,carrot powder,20mg,"10,5,1mg",Carrot-1-K10-3_L001_R1_001.fastq.gz,Carrot-1-K10-3_L001_R2_001.fastq.gz,3,Carrot
Carrot-1-K3-1,KeminCaninePartThree,1,K3,Botanicals,12,carrot powder,20mg,"10,5,1mg",Carrot-1-K3-1_L001_R1_001.fastq.gz,Carrot-1-K3-1_L001_R2_001.fastq.gz,1,Carrot
Carrot-1-K3-2,KeminCaninePartTwo,1,K3,Botanicals,12,carrot powder,20mg,"10,5,1mg",Carrot-1-K3-2_L001_R1_001.fastq.gz,Carrot-1-K3-2_L001_R2_001.fastq.gz,2,Carrot
Carrot-1-K3-3,KeminCaninePartOne,1,K3,Botanicals,12,carrot powder,20mg,"10,5,1mg",Carrot-1-K3-3_L001_R1_001.fastq.gz,Carrot-1-K3-3_L001_R2_001.fastq.gz,3,Carrot
Carrot-1-K5-1,KeminCaninePartTwo,1,K5,Botanicals,12,carrot powder,20mg,"10,5,1mg",Carrot-1-K5-1_L001_R1_001.fastq.gz,Carrot-1-K5-1_L001_R2_001.fastq.gz,1,Carrot
Carrot-1-K5-2,KeminCaninePartOne,1,K5,Botanicals,12,carrot powder,20mg,"10,5,1mg",Carrot-1-K5-2_L001_R1_001.fastq.gz,Carrot-1-K5-2_L001_R2_001.fastq.gz,2,Carrot
Carrot-1-K5-3,KeminCaninePartThree,1,K5,Botanicals,12,carrot powder,20mg,"10,5,1mg",Carrot-1-K5-3_L001_R1_001.fastq.gz,Carrot-1-K5-3_L001_R2_001.fastq.gz,3,Carrot
Carrot-1-K7-1,KeminCaninePartThree,1,K7,Botanicals,12,carrot powder,20mg,"10,5,1mg",Carrot-1-K7-1_L001_R1_001.fastq.gz,Carrot-1-K7-1_L001_R2_001.fastq.gz,1,Carrot
Carrot-1-K7-2,KeminCaninePartTwo,1,K7,Botanicals,12,carrot powder,20mg,"10,5,1mg",Carrot-1-K7-2_L001_R1_001.fastq.gz,Carrot-1-K7-2_L001_R2_001.fastq.gz,2,Carrot
Carrot-1-K7-3,KeminCaninePartOne,1,K7,Botanicals,12,carrot powder,20mg,"10,5,1mg",Carrot-1-K7-3_L001_R1_001.fastq.gz,Carrot-1-K7-3_L001_R2_001.fastq.gz,3,Carrot
Carrot-10-K10-1,KeminCaninePartTwo,10,K10,Botanicals,12,carrot powder,20mg,"10,5,1mg",Carrot-10-K10-1_L001_R1_001.fastq.gz,Carrot-10-K10-1_L001_R2_001.fastq.gz,1,Carrot
Carrot-10-K10-2,KeminCaninePartOne,10,K10,Botanicals,12,carrot powder,20mg,"10,5,1mg",Carrot-10-K10-2_L001_R1_001.fastq.gz,Carrot-10-K10-2_L001_R2_001.fastq.gz,2,Carrot
Carrot-10-K10-3,KeminCaninePartThree,10,K10,Botanicals,12,carrot powder,20mg,"10,5,1mg",Carrot-10-K10-3_L001_R1_001.fastq.gz,Carrot-10-K10-3_L001_R2_001.fastq.gz,3,Carrot
Carrot-10-K3-1,KeminCaninePartOne,10,K3,Botanicals,12,carrot powder,20mg,"10,5,1mg",Carrot-10-K3-1_L001_R1_001.fastq.gz,Carrot-10-K3-1_L001_R2_001.fastq.gz,1,Carrot
